miRNA, drug
hsa-let-7a,22660
hsa-let-7a,24014
hsa-let-7a,24083
hsa-let-7a,24199
hsa-let-7a,24414
hsa-let-7a,24424
hsa-let-7a,24436
hsa-let-7a,24462
hsa-let-7a,24550
hsa-let-7a,24642
hsa-let-7a,24763
hsa-let-7a,24850
hsa-let-7a,24856
hsa-let-7a,25249
hsa-let-7a,26041
hsa-let-7a,26042
hsa-let-7a,27661
hsa-let-7a,27812
hsa-let-7a,28417
hsa-let-7a,28620
hsa-let-7a,30323
hsa-let-7a,30541
hsa-let-7a,30951
hsa-let-7a,31072
hsa-let-7a,31203
hsa-let-7a,31236
hsa-let-7a,31294
hsa-let-7a,31307
hsa-let-7a,31378
hsa-let-7a,32798
hsa-let-7a,33032
hsa-let-7a,33572
hsa-let-7a,33741
hsa-let-7a,36294
hsa-let-7a,36462
hsa-let-7a,37720
hsa-let-7a,38521
hsa-let-7a,38945
hsa-let-7a,39468
hsa-let-7a,39912
hsa-let-7a,40632
hsa-let-7a,40973
hsa-let-7a,41987
hsa-let-7a,42890
hsa-let-7a,43815
hsa-let-7a,44093
hsa-let-7a,44564
hsa-let-7a,47936
hsa-let-7a,51040
hsa-let-7a,51081
hsa-let-7a,51634
hsa-let-7a,54454
hsa-let-7a,54687
hsa-let-7a,55245
hsa-let-7a,55466
hsa-let-7a,56959
hsa-let-7a,60164
hsa-let-7a,60198
hsa-let-7a,60464
hsa-let-7a,60860
hsa-let-7a,60947
hsa-let-7a,61739
hsa-let-7a,62662
hsa-let-7a,62816
hsa-let-7a,62859
hsa-let-7a,62930
hsa-let-7a,62959
hsa-let-7a,65430
hsa-let-7a,67678
hsa-let-7a,68614
hsa-let-7a,68723
hsa-let-7a,68740
hsa-let-7a,68861
hsa-let-7a,68873
hsa-let-7a,69286
hsa-let-7a,71077
hsa-let-7a,71158
hsa-let-7a,71384
hsa-let-7a,71387
hsa-let-7a,71398
hsa-let-7a,71415
hsa-let-7a,72048
hsa-let-7a,72474
hsa-let-7a,74989
hsa-let-7a,82146
hsa-let-7a,82153
hsa-let-7a,84088
hsa-let-7a,84645
hsa-let-7a,84815
hsa-let-7a,91270
hsa-let-7a,91694
hsa-let-7a,93004
hsa-let-7a,93055
hsa-let-7a,105024
hsa-let-7a,107526
hsa-let-7a,108065
hsa-let-7a,119117
hsa-let-7a,121396
hsa-let-7a,121892
hsa-let-7a,124653
hsa-let-7a,124886
hsa-let-7a,125017
hsa-let-7a,131204
hsa-let-7a,132971
hsa-let-7a,132999
hsa-let-7a,142775
hsa-let-7a,148195
hsa-let-7a,149096
hsa-let-7a,149351
hsa-let-7a,152946
